hood_T,other_T,color,shade ,finish,make,model,cloudiness,license,state,comments,"Group, Name",
188.1,172.2,Purple,No,Pearl,Honda,Fit,No,CCY1481,AZ,,Fourth Floor,
157.8,157.8,Blue,No,Pearl,Hona,CRZ,No,brc3658,AZ,,Fourth Floor,
167.2,158.7,Red,No,Pearl,Volvo,S80,No,CBJ823,AZ,,Fourth Floor,
172.5,180.3,Blue,No,Pearl,Chevy,Impala,No,bew1122,AZ,,Fourth Floor,
186.2,186.2,Blue,No,Flat,Infiniti,M35,No,btf3174,AZ,,Fourth Floor,
98.2,98.2,Blue,Yes,Pearl,Honda,Civic,No,bwy9056,AZ,,Fourth Floor,
104,91,Grey,Yes,Flat,BMW,328i,No,S216HH,AZ,,Fourth Floor,
109.4,96.9,Black,Yes,Pearl,Mazda,Miata,No,1701MX5,AZ,,Fourth Floor,
104,94.1,Black,Yes,Pearl,Ford,Mustang,No,AWL2896,AZ,,Fourth Floor,
113.7,94.9,Green,Yes,Pearl,Volkswagon,Bug,No,BUB9160,AZ,,Fourth Floor,
102.6,96.3,Red,Yes,Pearl,Ford,Mustang,No,CDLT0425,AZ,,Fourth Floor,
103.1,94.8,Charcoal,Yes,Pearl,Subaru,Forester,No,CRTM4700,AZ,,Fourth Floor,
,,,,,,,,,,,,
,,,,,,,,,,,,
123.7,125.8,White,No,Glossy,Honda,Ridgeline,no,SO610,AZ,,Fifth Floor ,
131,143.9,Green,No,Matte,Kawasaki,650ABS,no,3AGB MC,AZ,,Fifth Floor ,
166,155.5,Gray,No,Glossy,Toyota,Corolla,no,BVF7843,AZ,,Fifth Floor ,
122.4,138,Blue/Black,No,Glossy,Kawasaki,650ABS,no,O MC 625,AZ,,Fifth Floor ,
162.5,188.8,Black,No,Glossy,Ford,Fiesta,no,V748394,IL,,Fifth Floor ,
112,122.6,White,No,Glossy,GMC,2500 HD,no,G829OX,AZ,,Fifth Floor ,
158.6,132,Red,No,Glossy,Toyota,Tacoma,no,CAC4833,AZ,,Fifth Floor ,
146.5,159.8,Green,No,Glossy,Honda ,Civic,no,AMT6932,AZ,,Fifth Floor ,
143,143,Light Blue,No,Glossy,Toyota,Sienna,no,308RCY,AZ,,Fifth Floor ,
97.2,93.8,Blue,Yes,Matte,Hyundai,Veloster,no,CAB0437,AZ,,Fifth Floor ,
100.9,95,Brown,Yes,Glossy,Ford,Flex,no,K5T0G,AZ,,Fifth Floor ,
107.7,97.7,Red,Yes,Glossy,Ford ,Mustang,no,DAAYUUM,AZ,,Fifth Floor ,
99.1,94.1,Silver,Yes,Glossy,VW,Jetta,no,CHP7527,AZ,,Fifth Floor ,
100.9,97,White,Yes,Glossy,VW,Bug,no,IMABUGG,AZ,,Fifth Floor ,
106.7,96.1,Gray,Yes,Glossy,Nissan,Frontier,no,CHP3388,AZ,,Fifth Floor ,
105.2,96.4,Black,Yes,Glossy,Subaru,Forester,no,CCY3747,AZ,,Fifth Floor ,
97,94,Red,Yes,Glossy,Toyota,Prius,no,BNV3308,AZ,,Fifth Floor ,
104.9,96.6,Red,Yes,Glossy,Jeep,Wrangler,no,845XNV,AZ,,Fifth Floor ,
102.2,93.6,Silver,Yes,Glossy,Lexus,RX450h,no,BJF7452,AZ,,Fifth Floor ,
107.5,95.8,Light Brown,Yes,Glossy,Honda,Accord,no,TS399,AZ,,Fifth Floor ,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
